Material,Texto breve de material,Centro,Almacén,Lote,Clase de valoración,Unidad medida base,Cantidad,Clase de movimiento,Stock especial,Nº reserva,Nº pos.reserva traslado,Documento material,Fe.contabilización,Hora de entrada,Nombre del usuario,Carta de porte,Referencia,Orden,Grafo,Operación,Centro de coste,Elemento PEP,Elemento PEP,Indicador Debe/Haber
000000000132,CMPR_TRANSPORTE GAS,AR01,,,,%,"874.676,090",101,,0,0,5002810001,12/9/2023,11:43:19 a. m.,XFXM97,,,,,,AR10CDZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR04,,,,%,"84.997,770",101,,0,0,5002809942,12/9/2023,10:38:59 a. m.,XFXM97,,,,,,AR10LAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR04,,,,%,"259.292,720",101,,0,0,5002809973,12/9/2023,11:25:18 a. m.,XFXM97,,,,,,AR10LAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR06,,,,%,"439.328,250",101,,0,0,5002809943,12/9/2023,10:39:21 a. m.,XFXM97,,,,,,AR10SRZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR06,,,,%,"26.421,310",101,,0,0,5002809933,12/9/2023,11:03:10 a. m.,XFXM97,,,,,,AR10SRZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR07,,,,%,"1.496.075,060",101,,0,0,5002809975,12/9/2023,11:26:00 a. m.,XFXM97,,,,,,AR10LAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR07,,,,%,"1.033.059,730",101,,0,0,5002809976,12/9/2023,11:26:26 a. m.,XFXM97,,,,,,AR10LAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR07,,,,%,"1.149.123,170",101,,0,0,5002809259,12/9/2023,10:37:15 a. m.,XFXM97,,,,,,AR10APZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR07,,,,%,"699.375,440",101,,0,0,5002810021,12/9/2023,12:03:45 p. m.,XFXM97,,,,,,AR10APZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR08,,,,%,"36.924,220",101,,0,0,5002809941,12/9/2023,10:38:30 a. m.,XFXM97,,,,,,AR10BDZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR40,,,,%,"9.711.782,870",101,,0,0,5002810009,12/9/2023,11:52:28 a. m.,XFXM97,,,,,,AR11CAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR40,,,,%,"833.181,970",101,,0,0,5002810023,12/9/2023,12:04:23 p. m.,XFXM97,,,,,,AR11CAZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"10.180.008,290",101,,0,0,5002809260,12/9/2023,10:38:07 a. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"1.459.689,950",101,,0,0,5002810005,12/9/2023,11:50:41 a. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"1.675.201,900",101,,0,0,5002810006,12/9/2023,11:51:05 a. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"3.817.337,160",101,,0,0,5002810007,12/9/2023,11:51:29 a. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"631.645,220",101,,0,0,5002810008,12/9/2023,11:52:05 a. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR72,,,,%,"1.339.011,860",101,,0,0,5002810024,12/9/2023,12:04:46 p. m.,XFXM97,,,,,,AR10AGZ860,,,S
000000000484,CMPR_TI-496_NQN-NQN,AR50,,,,%,"38.294,420",101,,0,0,5002810022,12/9/2023,12:03:58 p. m.,XFXM97,,,,,,AR40LAZ860,,,S
020000000076,"HERRAMIENTA DV TOOL P/CSG 5.1/2"" MEC AOT",AR01,CD01,NUEVO,NUEVO,UN,"1,000",109,,0,0,5002810043,12/9/2023,12:13:54 p. m.,XMFB04,0001R00001299,0180331434,,,,,,,S
020000000076,"HERRAMIENTA DV TOOL P/CSG 5.1/2"" MEC AOT",AR01,CD01,NUEVO,NUEVO,UN,"5,000",109,,0,0,5002810043,12/9/2023,12:13:54 p. m.,XMFB04,0001R00001299,0180331434,,,,,,,S
020300000115,"CENTRALIZ P/TUB SEMIRIG 5.1/2"" 8.3/4"" AC",AR01,CD02,USADO,USADO,UN,"-40,000",281,,8936464,21,4903694703,12/9/2023,8:57:37 a. m.,XMOA01,,0095R00419245,,2000043011,0002,,,,H
020300000186,"CENTRALIZ P/TUB RIGIDO 5.1/2"" 8.37"" AC",AR01,CD01,NUEVO,NUEVO,UN,"105,000",109,,0,0,5002810031,12/9/2023,12:13:21 p. m.,XMFB04,0001R00001298,0180331428,,,,,,,S
020400000121,"TAPON 5.1/2"" 125..3000PSI INF TD>2800M",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,8936464,62,4903694703,12/9/2023,8:57:37 a. m.,XMOA01,,0095R00419245,,2000043011,0002,,,,H
020400000122,"TAPON 5.1/2"" 5000PSI SUP TD>2800M",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,8936464,63,4903694703,12/9/2023,8:57:37 a. m.,XMOA01,,0095R00419245,,2000043011,0002,,,,H
020500000254,"COLLAR FLOT 5.1/2"" BTC K55 14..23L/P AOT",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,0,0,4903695618,12/9/2023,2:13:13 p. m.,XPJQ02,,0095R00419312,,2000043351,0002,,,,H
020500000258,"ZAPATO FLOT 5.1/2"" K55 BTC 14..23L/P AOT",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,0,0,4903695618,12/9/2023,2:13:13 p. m.,XPJQ02,,0095R00419312,,2000043351,0002,,,,H
030900000116,"INSERTO 10025332-001 MORDAZA 5"" P/RAPID",AR01,CD01,NUEVO,NUEVO,UN,"300,000",109,,0,0,5002810471,12/9/2023,5:58:10 p. m.,XCEB02,,0180330090,,,,,,,S
030900000116,"INSERTO 10025332-001 MORDAZA 5"" P/RAPID",AR01,CD15,NUEVO,NUEVO,UN,"1.000,000",109,,0,0,5002810471,12/9/2023,5:58:10 p. m.,XCEB02,,0180330090,,,,,,,S
030900000197,INSERTO 10378891-001 INF LLAVE ST80,AR01,CD10,NUEVO,NUEVO,UN,"-1,000",261,,0,0,4903696202,12/9/2023,10:53:16 p. m.,UC4BATCH,,0095R00419393,30046421,,,,,,H
040200000029,RETENEDOR 80915 CRTI2-5.5,AR01,CD01,NUEVO,NUEVO,UN,"2,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000033,EMPAQ 50255 COPA GOMA,AR01,CD01,NUEVO,NUEVO,UN,"7,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000035,GUIA 81278 CRTI2-5.5,AR01,CD01,NUEVO,NUEVO,UN,"1,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000036,SOPORTE 83366 D/FIJ P/CRTI2-5.5,AR01,CD01,NUEVO,NUEVO,UN,"1,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000089,CUERDA VENTANA D/JAULA P/CRTI2-5.5,AR01,CD09,NUEVO,NUEVO,UN,"17,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000089,CUERDA VENTANA D/JAULA P/CRTI2-5.5,AR01,CD09,NUEVO,NUEVO,UN,"17,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000089,CUERDA VENTANA D/JAULA P/CRTI2-5.5,AR01,CD01,NUEVO,NUEVO,UN,"20,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000140,EMPAQ 50176 COPA GOMA,AR01,CD01,NUEVO,NUEVO,UN,"6,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000230,"PASADOR 50339 ESPIGA 3/16X1/2""",AR01,CD09,NUEVO,NUEVO,UN,"1,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040200000230,"PASADOR 50339 ESPIGA 3/16X1/2""",AR01,CD09,NUEVO,NUEVO,UN,"2,000",109,,0,0,5002810472,12/9/2023,6:00:09 p. m.,XCEB02,,0180327635,,,,,,,S
040900000001,"GOMA 1550/06 LIMPIADORA 17X5"" CAUCHO 2",AR01,CD10,NUEVO,NUEVO,UN,"-2,000",261,,0,0,4903696202,12/9/2023,10:53:16 p. m.,UC4BATCH,,0095R00419393,30046421,,,,,,H
080400000023,"SEPARAD P 4000 NM CICLONICO 4""",AR01,CD10,NUEVO,NUEVO,UN,"-1,000",261,,0,0,4903696202,12/9/2023,10:53:16 p. m.,UC4BATCH,,0095R00419393,30046421,,,,,,H
090000000033,"ARENA NATURAL 100 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"-2,000",281,,8946314,9,4903695994,12/9/2023,5:28:01 p. m.,XFXE05,,0095R00419379,,2000043089,0002,,,,H
090000000036,ARENA NATURAL 20/40 X1500 KG,AR01,CD01,NUEVO,NUEVO,UN,"-10,000",281,,9246970,32,4903695952,12/9/2023,4:34:50 p. m.,XFXE05,,0095R00419365,,2000043629,0002,,,,H
090000000036,ARENA NATURAL 20/40 X1500 KG,AR01,CD01,NUEVO,NUEVO,UN,"24,000",101,,0,0,5002810873,12/9/2023,10:38:53 p. m.,XSEA02,0005R00071154,0183405513,,,,,,,S
090000000043,ARENA NATURAL 16/30 X1500 KG,AR01,CD01,NUEVO,NUEVO,UN,"-5,000",281,,8946314,7,4903695747,12/9/2023,3:40:38 p. m.,XFXE05,,0095R00419346,,2000043089,0002,,,,H
090000000043,ARENA NATURAL 16/30 X1500 KG,AR01,CD01,NUEVO,NUEVO,UN,"-10,000",281,,0,0,4903696190,12/9/2023,10:34:54 p. m.,XSEA02,,0095R00419392,,2000043161,0002,,,,H
090000000078,"ARENA SINT 20/40 X1,5TN CQLITE",AR01,CD01,NUEVO,NUEVO,UN,"2,000",282,,0,0,4903696149,12/9/2023,10:03:04 p. m.,XSEA02,,,,2000042596,0002,,,,S
090000000080,"ARENA RESINADA CURABLE 16/30 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"-10,000",281,,0,0,4903696190,12/9/2023,10:34:54 p. m.,XSEA02,,0095R00419392,,2000043161,0002,,,,H
090000000080,"ARENA RESINADA CURABLE 16/30 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"-4,000",281,,8946314,8,4903695747,12/9/2023,3:40:38 p. m.,XFXE05,,0095R00419346,,2000043089,0002,,,,H
090000000081,"ARENA RESINADA CURABLE 20/40 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"24,000",101,,0,0,5002810418,12/9/2023,6:34:00 p. m.,XFXE05,0010R00000105,0183405460,,,,,,,S
090000000081,"ARENA RESINADA CURABLE 20/40 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"-6,000",281,,9246970,33,4903695952,12/9/2023,4:34:50 p. m.,XFXE05,,0095R00419365,,2000043629,0002,,,,H
090000000081,"ARENA RESINADA CURABLE 20/40 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"3,000",282,,0,0,4903696149,12/9/2023,10:03:04 p. m.,XSEA02,,,,2000042596,0002,,,,S
090000000083,"ARENA RESINADA CURABLE 20/40 X1,5TN",AR01,,NUEVO,NUEVO,UN,"-24,000",543,O,0,0,5002810418,12/9/2023,6:34:00 p. m.,XFXE05,0010R00000105,0183405460,,,,,,,H
100104007700,ESPACIAD BIPART SAE4140 VAST 1.1/2 50MM,AR01,CD01,NUEVO,NUEVO,UN,"-2,000",261,,9303581,12,4903694858,12/9/2023,9:34:12 a. m.,XMOA01,,0095R00419256,22854320,,,,,,H
100104007700,ESPACIAD BIPART SAE4140 VAST 1.1/2 50MM,AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9252710,9,4903696150,12/9/2023,8:25:02 p. m.,XWDA01,,0095R00419387,22838467,,,,,,H
100104007800,ESPACIAD BIPART SAE4140 VAST 1.1/2 100MM,AR01,CD01,NUEVO,NUEVO,UN,"-2,000",261,,9303581,13,4903694858,12/9/2023,9:34:12 a. m.,XMOA01,,0095R00419256,22854320,,,,,,H
100104007800,ESPACIAD BIPART SAE4140 VAST 1.1/2 100MM,AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9252710,10,4903696150,12/9/2023,8:25:02 p. m.,XWDA01,,0095R00419387,22838467,,,,,,H
100104007900,ESPACIAD BIPART SAE4140 VAST 1.1/2 200MM,AR01,CD01,NUEVO,NUEVO,UN,"-2,000",261,,9303581,14,4903694858,12/9/2023,9:34:12 a. m.,XMOA01,,0095R00419256,22854320,,,,,,H
100104007900,ESPACIAD BIPART SAE4140 VAST 1.1/2 200MM,AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9252710,11,4903696150,12/9/2023,8:25:02 p. m.,XWDA01,,0095R00419387,22838467,,,,,,H
100104007900,ESPACIAD BIPART SAE4140 VAST 1.1/2 200MM,AR02,KK01,NUEVO,NUEVO,UN,"-1,000",261,,9293742,10,4903694770,12/9/2023,9:01:03 a. m.,XCAM03,,0096R00056419,22852714,,,,,,H
100104008500,"BUJE 2X5"" 4140 CINC VAST: 1.1/2""",AR02,KK01,NUEVO,NUEVO,UN,"-2,000",261,,9293742,14,4903694950,12/9/2023,9:57:21 a. m.,XCAM03,,0096R00056424,22852714,,,,,,H
100104008800,"BUJE 2X8"" 4140 CINC VAST: 1.1/2""",AR02,KK01,NUEVO,NUEVO,UN,"-2,000",261,,9293742,15,4903694950,12/9/2023,9:57:21 a. m.,XCAM03,,0096R00056424,22852714,,,,,,H
100104009600,"DISCO NIVELADOR 1.1/2"" P/VTGO BBEO",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9252710,12,4903696150,12/9/2023,8:25:02 p. m.,XWDA01,,0095R00419387,22838467,,,,,,H
110100000006,KIT TERMINACION BES NC-B-ELS WENLEN,AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,9261257,42,4903694891,12/9/2023,9:53:29 a. m.,XMOA01,,0095R00419265,,2000043634,0007,,,,H
110100000009,"BRIDA API COLGADORA 7.1/16X2.7/8"" 3000",AR01,CD13,REPARADO,REPARADO,UN,"-1,000",261,,9276342,17,4903694896,12/9/2023,10:06:58 a. m.,XMOA01,,0095R00419269,60108650,,,,,,H
110100000087,KIT TERMINACION BM WENLEN,AR01,CD13,NUEVO,NUEVO,UN,"-1,000",261,K,9276342,19,4903696207,12/9/2023,11:54:09 p. m.,XROP01,,0095R00419394,60108650,,,,,,H
110107015300,"BRIDA API DOBLE ESPARR 2.9/16"" AC CARB",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,8537808,4,4903695722,12/9/2023,3:07:05 p. m.,XMOA01,,0095R00419325,,2000042130,0002,,,,H
110107015300,"BRIDA API DOBLE ESPARR 2.9/16"" AC CARB",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,5280009,4,4903695725,12/9/2023,3:11:34 p. m.,XMOA01,,0095R00419328,,2000031475,0002,,,,H
110500000017,"CARRETEL SECC.""C"",11""X7.1/16"",S-3000",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8936464,29,4903694703,12/9/2023,8:57:37 a. m.,XMOA01,,0095R00419245,,2000043011,0002,,,,H
110600028900,"REG CAUDAL T/AJUST.D.NOM: 3"" (PASAJE MAX",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,5280009,3,4903695725,12/9/2023,3:11:34 p. m.,XMOA01,,0095R00419328,,2000031475,0002,,,,H
110600028900,"REG CAUDAL T/AJUST.D.NOM: 3"" (PASAJE MAX",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8537808,3,4903695722,12/9/2023,3:07:05 p. m.,XMOA01,,0095R00419325,,2000042130,0002,,,,H
110700000014,"VALV ESC MAN 3.1/8"" BRID API RX-35",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,9246600,3,4903695726,12/9/2023,3:12:34 p. m.,XMOA01,,0095R00419329,,2000043641,0001,,,,H
110700000030,"VALV ESC MAN 2.1/16"" BRID API RX-24",AR01,CD06,NUEVO,NUEVO,UN,"20,000",109,,0,0,5002810415,12/9/2023,4:58:24 p. m.,XCEB02,0001R00018659,0180330643,,,,,,,S
110700000030,"VALV ESC MAN 2.1/16"" BRID API RX-24",AR01,CD06,NUEVO,NUEVO,UN,"10,000",109,,0,0,5002810415,12/9/2023,4:58:24 p. m.,XCEB02,0001R00018659,0180330643,,,,,,,S
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,1613569,3,4903695760,12/9/2023,3:16:39 p. m.,XMOA01,,0095R00419334,,2000019857,0002,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8537808,15,4903695722,12/9/2023,3:07:05 p. m.,XMOA01,,0095R00419325,,2000042130,0002,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8691726,16,4903695727,12/9/2023,3:13:14 p. m.,XMOA01,,0095R00419330,,2000042454,0002,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8537805,18,4903695728,12/9/2023,3:13:52 p. m.,XMOA01,,0095R00419331,,2000042127,0002,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,8598366,2,4903695729,12/9/2023,3:14:37 p. m.,XMOA01,,0095R00419333,,2000042175,0002,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-2,000",281,K,9261257,49,4903694891,12/9/2023,9:53:29 a. m.,XMOA01,,0095R00419265,,2000043634,0007,,,,H
110702044400,"VALV ESC MAN 2"" API LP T AA ACC.VOL",AR01,CD13,NUEVO,NUEVO,UN,"-1,000",281,K,5280009,15,4903695725,12/9/2023,3:11:34 p. m.,XMOA01,,0095R00419328,,2000031475,0002,,,,H
110900000014,PUENTE  AUXILIAR P/DOSIFICACION DE,AR01,CD01,NUEVO,NUEVO,UN,"-1,000",281,,1613569,5,4903695123,12/9/2023,10:52:12 a. m.,XAAS05,,0095R00419280,,2000019857,0002,,,,H
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9260297,4,4903695564,12/9/2023,1:48:49 p. m.,XMOA01,,,,,,AR10CD3102,,,S
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9260290,4,4903695658,12/9/2023,2:45:12 p. m.,XMOA01,,,,,,AR10CD5102,,,S
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9308681,5,4903696087,12/9/2023,6:57:07 p. m.,XMOA01,,,,,,AR10CD5102,,,S
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9303672,4,4903695617,12/9/2023,2:10:40 p. m.,XMOA01,,,,,,AR10CD2102,,,S
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9267926,4,4903695659,12/9/2023,2:48:01 p. m.,XMOA01,,,,,,AR10CD8103,,,S
120000000005,ANCLA P/TBG A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"1,000",202,,9260303,2,4903695653,12/9/2023,2:38:17 p. m.,XMOA01,,,,,,AR10CD2101,,,S
120007000500,"ANCLA P/TBG CSG 5.1/2"" 2.7/8"" CATCHER,",AR02,KK02,USADO,USADO,UN,"-1,000",261,,9023329,38,4903695651,12/9/2023,2:25:02 p. m.,XCAM03,,0096R00056430,22770369,,,,,,H
120008001900,"ANCLA P/TBG 2.7/8"" EU8RD MXH",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9307742,19,4903696109,12/9/2023,8:23:31 p. m.,XWDA01,,0095R00419386,22856664,,,,,,H
120008001900,"ANCLA P/TBG 2.7/8"" EU8RD MXH",AR01,CD01,NUEVO,NUEVO,UN,"-1,000",261,,9268618,30,4903696152,12/9/2023,8:30:33 p. m.,XWDA01,,0095R00419388,22844334,,,,,,H
120100000001,MANDRIL A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"4,000",581,,0,0,4903696042,12/9/2023,6:02:32 p. m.,XMOA01,,R0095,,2000043239,0006,,,,S
120100000157,"MANDRIL CJTO 1.1/2X2.3/8""",AR01,CD02,USADO,USADO,UN,"15,000",202,,9315303,1,4903695561,12/9/2023,1:38:45 p. m.,XMOA01,,,,,,AR10CD3100,,,S
120100000160,"MANDRIL CJTO 1X2.7/8""",AR01,CD02,USADO,USADO,UN,"4,000",202,,9315303,2,4903695561,12/9/2023,1:38:45 p. m.,XMOA01,,,,,,AR10CD3100,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"16,000",581,,9139318,95,4903695567,12/9/2023,1:57:06 p. m.,XMOA01,,R0095,,2000043298,0004,,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"354,000",202,,9299775,1,4903695565,12/9/2023,1:50:46 p. m.,XMOA01,,,,,,AR10CD8103,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"50,000",202,,9303672,2,4903695617,12/9/2023,2:10:40 p. m.,XMOA01,,,,,,AR10CD2102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"10,000",202,,9260297,2,4903695564,12/9/2023,1:48:49 p. m.,XMOA01,,,,,,AR10CD3102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"-125,000",201,,9284472,1,4903695857,12/9/2023,4:08:39 p. m.,XFLM01,,0095R00419357,,,,AR10CDZ410,,,H
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"15,000",581,,9135206,18,4903696041,12/9/2023,5:59:33 p. m.,XMOA01,,R0095,,2000043404,0005,,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"120,000",202,,9276873,1,4903696044,12/9/2023,6:09:47 p. m.,XMOA01,,,,,,AR10CD1101,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"9,000",202,,9292726,2,4903696045,12/9/2023,6:11:27 p. m.,XMOA01,,,,,,AR10CD1101,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"289,000",581,,9246970,14,4903696049,12/9/2023,6:16:09 p. m.,XMOA01,,R0095,,2000043629,0002,,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"30,000",202,,9297424,2,4903696081,12/9/2023,6:22:09 p. m.,XMOA01,,,,,,AR10CD1101,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"20,000",202,,9308447,2,4903696082,12/9/2023,6:24:35 p. m.,XMOA01,,,,,,AR10CD2102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"138,000",202,,9308681,2,4903696087,12/9/2023,6:57:07 p. m.,XMOA01,,,,,,AR10CD5102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"137,000",202,,9313170,1,4903696085,12/9/2023,6:55:13 p. m.,XMOA01,,,,,,AR10CD5102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"35,000",202,,9260290,2,4903695658,12/9/2023,2:45:12 p. m.,XMOA01,,,,,,AR10CD5102,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"273,000",202,,9267926,2,4903695659,12/9/2023,2:48:01 p. m.,XMOA01,,,,,,AR10CD8103,,,S
120500000011,VBB A INSPECCIONAR,AR01,CD03,USADO,USADO,UN,"98,000",202,,9307816,1,4903695762,12/9/2023,3:28:37 p. m.,XMOA01,,,,,,AR10CD9102,,,S
120500000027,"TROZO MANIOB ALPHAROD 1""X2' ALPHA CS SH",AR01,CD01,NUEVO,NUEVO,UN,"90,000",101,,0,0,5002809949,12/9/2023,11:41:55 a. m.,XMFB04,0017R00045008,0180331692,,,,,,,S
120500000047,"TROZO MANIOB 1""X8' ALPHA CS SH ALPHA CS",AR01,CD01,NUEVO,NUEVO,UN,"80,000",101,,0,0,5002809970,12/9/2023,11:41:03 a. m.,XMFB04,0017R00045007,0180331691,,,,,,,S
